1546300800000,3701.23,3810.16,3642.0,3797.14,23741.687033
1546387200000,3796.45,3882.14,3750.45,3858.56,35156.463369
1546473600000,3857.57,3862.74,3730.0,3766.78,29406.948359
1546560000000,3767.2,3823.64,3703.57,3792.01,29519.554671
1546646400000,3790.09,3840.99,3751.0,3770.96,30490.667751
1546732800000,3771.12,4027.71,3740.0,3987.6,36553.806709
1546819200000,3987.62,4017.9,3921.53,3975.45,31869.846264
1546905600000,3976.76,4069.8,3903.0,3955.13,38901.423122
1546992000000,3955.45,4006.81,3930.04,3966.65,28989.439511
1547078400000,3966.06,3996.01,3540.0,3585.88,59402.22851
1547164800000,3585.88,3658.0,3465.0,3601.31,38338.654733
1547251200000,3601.31,3618.19,3530.0,3583.13,21999.928354
1547337600000,3584.1,3611.1,3441.3,3476.81,26385.757454
1547424000000,3477.56,3671.87,3467.02,3626.09,35235.211215
1547510400000,3626.08,3648.42,3516.62,3553.06,34137.997459
1547596800000,3553.06,3645.0,3543.51,3591.84,27480.179977
1547683200000,3591.84,3634.7,3530.39,3616.21,29755.440838
1547769600000,3613.32,3620.0,3565.75,3594.87,22713.446755
1547856000000,3594.87,3720.0,3594.23,3665.3,22171.578123
1547942400000,3665.75,3693.73,3475.0,3539.28,27901.938598
1548028800000,3539.26,3559.51,3475.5,3526.9,19644.436839
1548115200000,3526.88,3608.5,3434.85,3570.93,29336.442967
1548201600000,3570.41,3607.98,3514.5,3552.82,24938.842698
1548288000000,3552.97,3589.0,3529.22,3569.62,20826.25118
1548374400000,3569.07,3587.15,3522.51,3565.29,17608.346671
1548460800000,3566.69,3662.94,3545.0,3565.25,19476.532344
1548547200000,3565.62,3579.0,3486.0,3550.84,22735.598162
1548633600000,3550.05,3557.75,3380.27,3434.15,40405.111401
1548720000000,3434.0,3443.45,3349.92,3411.04,29544.928977
1548806400000,3410.04,3478.0,3387.1,3458.18,23968.260243
1548892800000,3457.5,3489.2,3418.8,3434.1,29607.190253
1548979200000,3434.1,3488.0,3401.2,3462.07,25260.476159
1549065600000,3462.2,3526.4,3440.29,3504.77,17920.802
1549152000000,3504.06,3511.09,3426.0,3458.11,19867.33639
1549238400000,3458.11,3484.88,3433.31,3463.22,23131.981108
1549324800000,3463.22,3478.97,3448.43,3471.59,25264.41503
1549411200000,3471.57,3482.72,3380.0,3405.37,35310.244846
1549497600000,3407.0,3426.45,3390.0,3398.4,18665.538638
1549584000000,3398.4,3733.58,3373.1,3659.04,47968.058013
1549670400000,3660.27,3680.02,3625.13,3665.18,24759.833719
1549756800000,3665.18,3684.99,3609.76,3680.06,23250.602634
1549843200000,3679.75,3684.9,3615.53,3631.05,24954.614571
1549929600000,3631.05,3667.6,3582.34,3631.46,29479.59823
1550016000000,3631.51,3670.0,3591.75,3609.4,25773.997648
1550102400000,3608.34,3626.4,3568.11,3590.56,21753.501261
1550188800000,3590.57,3653.23,3573.45,3602.47,20777.872899
1550275200000,3602.49,3648.2,3597.91,3618.41,19565.992751
1550361600000,3617.22,3700.11,3604.4,3667.58,25690.227779
1550448000000,3667.62,3925.0,3655.0,3898.6,64042.730492
1550534400000,3897.35,3994.52,3856.0,3907.79,50207.172667
1550620800000,3907.35,3986.98,3870.66,3969.74,36205.14085
1550707200000,3969.74,4016.48,3901.03,3937.31,31103.884728
1550793600000,3937.31,3988.0,3926.65,3962.0,23943.16375
1550880000000,3962.0,4162.02,3933.15,4117.76,33657.942883
1550966400000,4118.0,4198.0,3712.66,3743.56,62224.18689
1551052800000,3743.56,3872.66,3740.0,3827.92,38102.966245
1551139200000,3828.44,3841.51,3777.0,3809.23,28838.748036
1551225600000,3809.31,3838.85,3677.17,3818.07,31500.995466
1551312000000,3818.04,3888.0,3763.87,3813.69,32561.961044
1551398400000,3814.26,3857.0,3813.01,3823.0,23174.57217
1551484800000,3822.17,3841.31,3772.25,3819.93,19445.838355
1551571200000,3819.97,3835.0,3781.32,3807.75,16718.16541
1551657600000,3807.32,3830.0,3670.69,3715.3,34742.84166
1551744000000,3716.1,3877.1,3703.55,3857.73,32962.536162
1551830400000,3857.58,3907.0,3813.09,3861.84,24775.11883
1551916800000,3861.84,3905.4,3840.4,3873.64,26455.257661
1552003200000,3873.63,3932.0,3800.0,3864.89,34730.366592
1552089600000,3864.88,3971.75,3854.75,3943.04,30979.747653
1552176000000,3943.43,3943.43,3881.69,3916.82,23187.561412
1552262400000,3915.99,3936.98,3830.0,3871.61,38066.885705
1552348800000,3871.61,3905.2,3826.06,3882.73,26921.008622
1552435200000,3882.69,3893.56,3840.0,3866.0,24461.008757
1552521600000,3866.0,3920.0,3810.43,3877.12,27048.74853
1552608000000,3877.12,3939.22,3872.2,3923.76,21740.061498
1552694400000,3924.46,4056.98,3921.98,4005.98,28568.376124
1552780800000,4005.98,4012.0,3950.01,3981.14,18814.255577
1552867200000,3981.85,4037.0,3953.33,3987.81,22454.47801
1552953600000,3987.83,4031.0,3970.0,4015.53,19893.741815
1553040000000,4017.48,4050.0,3980.5,4043.04,23432.300255
1553126400000,4043.04,4069.32,3880.01,3980.64,35997.682119
1553212800000,3980.85,4008.0,3968.25,3986.93,20022.606318
1553299200000,3987.89,4018.83,3978.01,4006.01,17302.604318
1553385600000,4006.01,4006.02,3950.0,3992.18,17179.850648
1553472000000,3991.35,3999.3,3888.71,3936.12,33192.890217
1553558400000,3935.47,3958.98,3894.0,3948.55,29349.537627
1553644800000,3948.77,4048.0,3936.15,4038.05,32364.555852
1553731200000,4039.58,4039.7,4002.0,4027.81,20089.293875
1553817600000,4028.22,4123.71,4024.03,4103.25,30084.217444
1553904000000,4104.24,4140.0,4052.0,4106.97,19509.292601
1553990400000,4106.99,4116.12,4082.57,4103.95,13525.087433
